,Unnamed: 0,timestamp,page_views,ad_spend,is_weekend,day_of_week,is_holiday,New Column,holiday_binary
0,0,2022-01-01,1165.9627671592075,194.90142459033697,True,Saturday,True,1360.8641917495445,1
1,1,2022-01-02,1191.485835416805,175.85207096486445,True,Sunday,False,1367.3379063816694,0
2,2,2022-01-03,1266.9282687117889,269.4306561430208,False,Monday,False,1536.3589248548096,0
3,3,2022-01-04,1364.1938584313,295.6908956922408,False,Tuesday,False,1659.884754123541,0
4,4,2022-01-05,1013.282519803795,242.97539875829992,False,Wednesday,False,1256.257918562095,0
5,5,2022-01-06,996.3168890141,242.9758912915246,False,Thursday,False,1239.2927803056245,0
6,6,2022-01-07,1105.347390765418,297.37638446522175,False,Friday,False,1402.7237752306396,0
7,7,2022-01-08,1202.5747500338653,203.02304187458725,True,Saturday,False,1405.5977919084526,0
8,8,2022-01-09,1333.7579697497808,165.91576842195144,True,Sunday,False,1499.6737381717323,0
9,9,2022-01-10,1424.6145178449772,266.2768013075789,False,Monday,False,1690.8913191525562,0
10,10,2022-01-11,1425.2990702585332,236.0974692156261,False,Tuesday,False,1661.3965394741592,0
11,11,2022-01-12,1035.0224101316626,236.02810739289228,False,Wednesday,False,1271.0505175245548,0
12,12,2022-01-13,1010.1459953599132,257.258868146981,False,Thursday,False,1267.4048635068941,0
13,13,2022-01-14,1101.0344049117723,192.60159266026608,False,Friday,False,1293.6359975720384,0
14,14,2022-01-15,1264.154526175252,128.25246502460902,True,Saturday,False,1392.4069911998608,0
15,15,2022-01-16,1442.178275447833,163.1313741227708,True,Sunday,False,1605.3096495706036,0
16,16,2022-01-17,1400.5302692651644,219.6150663899673,False,Monday,False,1620.1453356551317,0
17,17,2022-01-18,1113.5561684321,259.4274199778582,False,Tuesday,False,1372.9835884099584,0
18,18,2022-01-19,1185.4194066313744,222.75927773436368,False,Wednesday,False,1408.178684365738,0
19,19,2022-01-20,891.08407066417,207.63088895994125,False,Thursday,False,1098.7149596241113,0
20,20,2022-01-21,1071.865154817761,293.96946306764664,False,Friday,False,1365.8346178854076,0
21,21,2022-01-22,1124.0235766101314,173.22671098540394,True,Saturday,False,1297.2502875955354,0
22,22,2022-01-23,1328.859275791929,182.02584614063773,True,Sunday,False,1510.8851219325666,0
23,23,2022-01-24,1453.0382466936285,207.2575544135963,False,Monday,False,1660.2958011072249,0
24,24,2022-01-25,1274.104397146716,233.6685182642445,False,Tuesday,False,1507.7729154109606,0
25,25,2022-01-26,1116.176620643574,253.327677691296,False,Wednesday,False,1369.50429833487,0
26,26,2022-01-27,1120.7388447814822,215.4701926773309,False,Thursday,False,1336.209037458813,0
27,27,2022-01-28,1084.6665201573603,261.27094055037014,False,Friday,False,1345.9374607077305,0
28,28,2022-01-29,1199.275723886377,161.98083930243584,True,Saturday,False,1361.2565631888128,0
29,29,2022-01-30,1431.835984186524,171.2491875062017,True,Sunday,False,1603.0851716927257,0
30,30,2022-01-31,1518.2011491157343,231.94880163311808,False,Monday,False,1750.1499507488525,0
31,31,2022-02-01,1159.2721224057084,305.5683455352681,False,Tuesday,False,1464.8404679409764,0
32,32,2022-02-02,1139.485326438543,249.595083257862,False,Wednesday,False,1389.080409696405,0
33,33,2022-02-03,1078.187624123304,218.268672131323,False,Thursday,False,1296.456296254627,0
34,34,2022-02-04,1083.2533445239196,274.67634736309566,False,Friday,False,1357.9296918870152,0
35,35,2022-02-05,1342.0545469044662,143.37469050086935,True,Saturday,False,1485.4292374053355,0
36,36,2022-02-06,1359.7044500181914,186.26590785014267,True,Sunday,False,1545.970357868334,0
37,37,2022-02-07,1456.3421392983416,191.20989628360672,False,Monday,False,1647.5520355819483,0
38,38,2022-02-08,1247.5660602704622,210.15441853304708,False,Tuesday,False,1457.7204788035092,0
39,39,2022-02-09,1116.92694622211,255.9058370760737,False,Wednesday,False,1372.8327832981838,0
